table,field,type,required,primary_source,model_use,known_at_rule,description,leakage_risk
games,game_id,string,yes,nflverse,all,schedule publication,Canonical nflverse game identifier.,
games,spreadspoke_game_id,string,no,Spreadspoke,audit,ingestion only,Cross-source continuity identifier.,
games,season,int,yes,nflverse/Spreadspoke,all,schedule publication,NFL season year.,
games,season_type,enum,yes,nflverse,all,schedule publication,"PRE, REG, or POST.",
games,week,string,yes,nflverse/Spreadspoke,all,schedule publication,Regular-season week or playoff round.,
games,scheduled_kickoff_utc,timestamp,yes,nflverse,all,schedule update timestamp,Scheduled kickoff converted to UTC.,Reschedules must be versioned.
games,schedule_version_utc,timestamp,yes,pipeline,all,source retrieval,When this schedule version became known.,
games,home_team_id,string,yes,nflverse,all,schedule publication,Canonical current-franchise alias.,
games,away_team_id,string,yes,nflverse,all,schedule publication,Canonical current-franchise alias.,
games,neutral_site,bool,yes,nflverse/Spreadspoke,all,schedule publication,Neutral-site flag.,
games,international_game,bool,no,derived,all,schedule publication,Game played outside United States.,
games,division_game,bool,no,nflverse,all,schedule publication,Divisional matchup.,
games,stadium_id,string,no,nflverse,all,schedule publication,Canonical venue identifier.,
games,stadium_name,string,no,nflverse/Spreadspoke,all,schedule publication,Venue name.,
games,stadium_latitude,float,no,venue dimension,weather/travel,venue dimension version,Venue latitude.,
games,stadium_longitude,float,no,venue dimension,weather/travel,venue dimension version,Venue longitude.,
games,stadium_timezone,string,no,venue dimension,all,venue dimension version,IANA venue timezone.,
games,roof,enum,no,nflverse,totals,schedule/update timestamp,"Dome, closed, open, or outdoors.",Roof decision can change.
games,surface,string,no,nflverse/Spreadspoke,all,schedule/update timestamp,Playing surface.,
games,home_rest_days,float,yes,nflverse/derived,all,prior game completion,Days since home team's prior game.,
games,away_rest_days,float,yes,nflverse/derived,all,prior game completion,Days since away team's prior game.,
games,home_bye_flag,bool,yes,derived,all,schedule publication,Home team coming off bye.,
games,away_bye_flag,bool,yes,derived,all,schedule publication,Away team coming off bye.,
games,home_short_week_flag,bool,yes,derived,all,schedule publication,Home rest below six days.,
games,away_short_week_flag,bool,yes,derived,all,schedule publication,Away rest below six days.,
games,home_travel_miles,float,no,derived venue/team locations,all,schedule publication,Great-circle travel estimate.,
games,away_travel_miles,float,no,derived venue/team locations,all,schedule publication,Great-circle travel estimate.,
games,home_time_zone_change,float,no,derived,all,schedule publication,Venue minus origin UTC offset.,
games,away_time_zone_change,float,no,derived,all,schedule publication,Venue minus origin UTC offset.,
games,home_head_coach_id,string,no,nflverse/manual,all,announcement timestamp,Expected home head coach.,
games,away_head_coach_id,string,no,nflverse/manual,all,announcement timestamp,Expected away head coach.,
games,home_score,float,target only,nflverse/Spreadspoke,labels,after game final,Final home score.,Never use as pregame feature.
games,away_score,float,target only,nflverse/Spreadspoke,labels,after game final,Final away score.,Never use as pregame feature.
games,home_margin,float,target only,derived,labels,after game final,Home score minus away score.,Never use as feature.
games,total_points,float,target only,derived,labels,after game final,Combined final score.,Never use as feature.
games,overtime,bool,target/context,nflverse,labels,after game final,Overtime flag.,Never use pregame.
games,attendance,float,no,box score/provider,research,after game,Recorded attendance.,Not available pregame.
games,attendance_capacity_pct,float,no,derived,historical HFA,after game,Attendance divided by capacity.,Use only to estimate future priors.
games,limited_crowd_flag,bool,no,derived,historical HFA,after game,COVID-era crowd restriction proxy.,Use historical only.
games,source_name,string,yes,pipeline,audit,ingestion,Primary row source.,
games,source_retrieved_at_utc,timestamp,yes,pipeline,audit,ingestion,Retrieval timestamp.,
odds_snapshots,provider_event_id,string,yes,The Odds API,all markets,provider snapshot,Provider event identifier.,
odds_snapshots,game_id,string,yes,crosswalk,all markets,event match time,Canonical game identifier.,
odds_snapshots,sport_key,string,yes,The Odds API,audit,provider snapshot,Provider sport key.,
odds_snapshots,bookmaker_id,string,yes,The Odds API,all markets,provider snapshot,Stable bookmaker key.,
odds_snapshots,bookmaker_name,string,yes,The Odds API,audit,provider snapshot,Bookmaker display name.,
odds_snapshots,bookmaker_region,string,yes,adapter config,audit,request time,Region requested.,
odds_snapshots,market_type,enum,yes,adapter,all markets,provider snapshot,"moneyline, spread, or total.",
odds_snapshots,outcome_side,enum,yes,adapter,all markets,provider snapshot,"home, away, over, under, or draw.",
odds_snapshots,outcome_name,string,yes,The Odds API,audit,provider snapshot,Raw outcome name.,
odds_snapshots,line_value,float,conditional,The Odds API,ATS/totals,provider snapshot,Spread or total point value; null for Moneyline.,
odds_snapshots,price_american,float,yes,The Odds API,all markets,provider snapshot,American price.,
odds_snapshots,price_decimal,float,yes,derived,all markets,provider snapshot,Decimal price.,
odds_snapshots,raw_implied_probability,float,yes,derived,all markets,provider snapshot,Unadjusted implied probability.,
odds_snapshots,bookmaker_overround,float,yes,derived,all markets,provider snapshot,Sum of paired raw implied probabilities.,
odds_snapshots,devig_probability,float,yes,derived,all markets,provider snapshot,Multiplicatively de-vigged probability.,
odds_snapshots,snapshot_utc,timestamp,yes,The Odds API,all markets,provider snapshot,Historical market snapshot time.,
odds_snapshots,bookmaker_last_update_utc,timestamp,no,The Odds API,all markets,provider market update,Book/market last-update timestamp.,
odds_snapshots,commence_time_utc,timestamp,yes,The Odds API,join/audit,provider snapshot,Provider event kickoff.,
odds_snapshots,minutes_to_kickoff,float,yes,derived,all markets,provider snapshot,Kickoff minus snapshot in minutes.,
odds_snapshots,is_live,bool,yes,derived,routing,provider snapshot,Snapshot at or after kickoff.,
odds_snapshots,market_active_flag,bool,no,provider,routing,provider snapshot,Market availability flag.,
odds_snapshots,consensus_line,float,no,derived,ATS/totals,provider snapshot,Median across books for same side.,
odds_snapshots,consensus_price_american,float,no,derived,all markets,provider snapshot,Median price across books.,
odds_snapshots,market_line_std,float,no,derived,ATS/totals,provider snapshot,Cross-book line dispersion.,
odds_snapshots,market_probability_std,float,no,derived,all markets,provider snapshot,Cross-book probability dispersion.,
odds_snapshots,number_of_books_reporting,int,yes,derived,all markets,provider snapshot,Count of active books.,
odds_snapshots,opening_line,float,no,derived snapshot history,ATS/totals,first observed snapshot,First observed line.,Opening is provider-coverage dependent.
odds_snapshots,line_move_from_open,float,no,derived snapshot history,ATS/totals,current snapshot,Current minus opening line.,
odds_snapshots,source_name,string,yes,pipeline,audit,ingestion,Odds source.,
odds_snapshots,source_retrieved_at_utc,timestamp,yes,pipeline,audit,ingestion,API retrieval time.,
plays,game_id,string,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field game_id.,Only prior completed games for pregame.
plays,play_id,int,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field play_id.,Only prior completed games for pregame.
plays,season,int,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field season.,Only prior completed games for pregame.
plays,season_type,string,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field season_type.,Only prior completed games for pregame.
plays,week,string,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field week.,Only prior completed games for pregame.
plays,posteam,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field posteam.,Only prior completed games for pregame.
plays,defteam,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field defteam.,Only prior completed games for pregame.
plays,home_team,string,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field home_team.,Only prior completed games for pregame.
plays,away_team,string,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field away_team.,Only prior completed games for pregame.
plays,qtr,int,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field qtr.,Only prior completed games for pregame.
plays,game_seconds_remaining,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field game_seconds_remaining.,Only prior completed games for pregame.
plays,half_seconds_remaining,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field half_seconds_remaining.,Only prior completed games for pregame.
plays,drive,int,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field drive.,Only prior completed games for pregame.
plays,series,int,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field series.,Only prior completed games for pregame.
plays,down,int,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field down.,Only prior completed games for pregame.
plays,ydstogo,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field ydstogo.,Only prior completed games for pregame.
plays,yardline_100,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field yardline_100.,Only prior completed games for pregame.
plays,goal_to_go,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field goal_to_go.,Only prior completed games for pregame.
plays,score_differential,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field score_differential.,Only prior completed games for pregame.
plays,play_type,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field play_type.,Only prior completed games for pregame.
plays,pass_attempt,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field pass_attempt.,Only prior completed games for pregame.
plays,rush_attempt,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field rush_attempt.,Only prior completed games for pregame.
plays,qb_dropback,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field qb_dropback.,Only prior completed games for pregame.
plays,sack,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field sack.,Only prior completed games for pregame.
plays,scramble,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field scramble.,Only prior completed games for pregame.
plays,complete_pass,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field complete_pass.,Only prior completed games for pregame.
plays,interception,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field interception.,Only prior completed games for pregame.
plays,fumble,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field fumble.,Only prior completed games for pregame.
plays,fumble_lost,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field fumble_lost.,Only prior completed games for pregame.
plays,touchdown,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field touchdown.,Only prior completed games for pregame.
plays,first_down,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field first_down.,Only prior completed games for pregame.
plays,third_down_converted,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field third_down_converted.,Only prior completed games for pregame.
plays,fourth_down_converted,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field fourth_down_converted.,Only prior completed games for pregame.
plays,air_yards,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field air_yards.,Only prior completed games for pregame.
plays,yards_after_catch,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field yards_after_catch.,Only prior completed games for pregame.
plays,passing_yards,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field passing_yards.,Only prior completed games for pregame.
plays,rushing_yards,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field rushing_yards.,Only prior completed games for pregame.
plays,return_yards,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field return_yards.,Only prior completed games for pregame.
plays,penalty,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field penalty.,Only prior completed games for pregame.
plays,penalty_yards,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field penalty_yards.,Only prior completed games for pregame.
